platform,country,app_id,app_name,description,genre,store_url,idea_desc,collected_data,category_id,function_type,is_boundary_case,note
android,kr,com.h2sync.android.h2syncapp,슈가지니 - 혈당·당뇨병·혈압 건강 관리 앱,"📊 혈당·혈압·체중·식단을 한 번에 관리
🤖 AI 음식 인식으로 음식 종류·양과 영양 정보 분석
📈 CGM 연동으로 식사·운동에 따른 혈당 변화 확인

슈가지니 - 혈당·당뇨·혈압 관리 앱

슈가지니는 혈당·혈압·체중부터 식단·운동·약물까지 다양한 건강 데이터를 한곳에서 기록하고 확인할 수 있는 통합 건강관리 앱입니다.

AI 음식 인식, 혈당 기록, CGM(연속혈당측정기) 및 건강 기기 연동을 통해 단순히 수치를 기록하는 것을 넘어 식사와 생활습관에 따른 혈당 변화를 이해할 수 있도록 도와드립니다.

제1형 당뇨, 제2형 당뇨, 당뇨 전단계, 임신성 당뇨, 고혈압 등 꾸준한 건강 기록과 관리가 필요한 분들이 이용할 수 있습니다.

✨ 주요 기능

✅ AI 음식 인식 및 영양 분석
음식 사진을 촬영하면 AI가 음식의 종류와 양을 인식하여 간편하게 식사를 기록할 수 있습니다.
탄수화물·단백질·지방·나트륨·혈당지수(GI)까지 자동으로 분석하여 식사 내용과 영양 정보를 한눈에 확인할 수 있습니다.

✅ AI 식사 평가 및 혈당 영향 확인
기록한 식사를 바탕으로 AI가 식사 점수와 상세한 피드백을 제공합니다.
식사 내용과 식후 혈당 변화를 함께 비교하며 어떤 음식과 식습관이 혈당 변화에 영향을 주었는지 확인하고, 더 나은 식사를 선택하는 데 도움을 받을 수 있습니다.

✅ 혈당·혈압·체중 통합 기록
혈당, 혈압, 체중, 식단, 운동, 약물 등 건강 데이터를 한곳에 기록하세요.
흩어진 건강 정보를 모아 혈당·혈압·체중의 변화와 생활습관에 따른 패턴을 더욱 편리하게 확인할 수 있습니다.

✅ CGM(연속혈당측정기) 연동
프리스타일 리브레, 바로잰Fit, 케어센스의 연속혈당 데이터를 슈가지니와 연동할 수 있습니다.
CGM 데이터와 식사·운동·약물 기록을 함께 살펴보며 식후 혈당 상승과 생활습관에 따른 혈당 패턴을 한눈에 확인하세요.

✅ 건강 기기 및 운동 앱 연동
애플 건강, 구글 헬스 커넥트, 핏빗을 비롯해 다양한 혈당계·혈압계·체중계·인슐린 펜과의 연동을 지원합니다.
연동된 데이터를 자동으로 불러와 수동 입력의 번거로움을 줄이고 건강 기록을 더욱 편리하게 관리할 수 있습니다.
※ 지원 기기와 연동 기능은 기기 및 이용 환경에 따라 다를 수 있습니다.

✅ 혈당 그래프와 PDF 보고서
기록한 식사와 식전·식후 혈당, 혈압, 체중 등의 변화를 그래프와 대시보드에서 한눈에 확인할 수 있습니다.
건강 데이터를 PDF 보고서로 저장하여 자신의 관리 진행 상황을 살펴보거나 진료 시 의료진과 공유할 수 있습니다.

✅ 가족·의료진과 데이터 공유 및 소통
파트너 기능을 통해 가족, 친구 또는 의료진과 혈당 데이터와 건강 기록을 실시간으로 공유할 수 있습니다.
앱 채팅을 이용해 건강 상태와 기록에 관해 소통하고, 격려 메시지를 주고받으며 꾸준한 건강 관리를 이어가 보세요.

✅ 예상 당화혈색소 확인
꾸준히 기록한 혈당 데이터를 바탕으로 예상 당화혈색소(HbA1c)를 확인할 수 있습니다.
예상 당화혈색소를 통해 장기적인 혈당 관리 상태를 이해하는 데 도움을 받을 수 있습니다.
※ 예상 당화혈색소는 참고용이며, 실제 수치는 의료기관의 검사를 통해 확인해야 합니다.

🎯 이런 분들께 추천합니다

✔ 제1형·제2형 당뇨 관리가 필요한 분
✔ 당뇨 전단계 또는 임신성 당뇨 관리가 필요한 분
✔ 혈압과 체중을 함께 기록하고 싶은 분
✔ 식사와 식후 혈당의 관계를 확인하고 싶은 분
✔ CGM과 혈당계 데이터를 한곳에서 관리하고 싶은 분
✔ 식단·운동·약물 등 생활습관을 함께 기록하고 싶은 분
✔ 가족 또는 의료진과 건강 데이터를 공유하고 싶은 분
✔ 종이 수첩 대신 앱으로 편리하게 건강을 기록하고 싶은 분

💡 슈가지니가 특별한 이유

AI 음식 인식과 영양 분석으로 식사를 더욱 간편하게 기록할 수 있습니다.

CGM과 건강 기기 연동을 통해 식사·운동·약물 기록과 혈당 변화를 함께 확인할 수 있습니다.

단순한 건강 기록을 넘어 자신의 혈당 패턴을 이해하고 꾸준한 건강관리 습관을 만들어 보세요.

🚀 지금 슈가지니를 다운로드하고
AI가 도와주는 스마트한 혈당·혈압 관리를 시작해 보세요!

👉 슈가지니 자세히 알아보기
https://www.health2sync.com/ko

개발자 연락처: +886 2-8797-6661",의료,https://play.google.com/store/apps/details?id=com.h2sync.android.h2syncapp&hl=ko&gl=kr,,,,,,
android,kr,com.dangdaepyo.dangdaepyo_user,당대표 - 당뇨관리 당뇨수첩 혈당기록 앱,"당대표 - 스마트 혈당 관리의 시작

당뇨 관리, 이제 더 쉽고 스마트하게!

당대표는 연속혈당측정기(CGM)와 연동하여 실시간으로 혈당을 모니터링하고, 개인 맞춤형 건강 관리 솔루션을 제공합니다.

[주요 기능]
📊 실시간 혈당 모니터링

연속혈당측정기와 연동
실시간 혈당 그래프 및 트렌드 확인
고혈당/저혈당 알림 설정


📝 통합 건강 기록

식사, 운동, 약물 복용 기록
일일/주간/월간 리포트


🎯 목표 관리

개인별 혈당 목표 설정
달성률 추적 및 동기부여
건강 습관 형성 지원


📈 상세 분석 리포트

혈당 패턴 분석
식사 및 활동과 혈당 변화 추적
맞춤형 관리 인사이트


당대표가 특별한 이유
✓ 의료기기와 안전한 연동
✓ 직관적이고 사용하기 쉬운 인터페이스
✓ 과학적 근거 기반의 건강 정보
✓ 개인정보 보호 최우선

당뇨 관리의 새로운 동반자, 당대표와 함께 건강한 일상을 만들어가세요!
※ 본 앱은 연속혈당측정기가 필요합니다.
※ 의료 전문가의 진단 및 치료를 대체하지 않습니다.",의료,https://play.google.com/store/apps/details?id=com.dangdaepyo.dangdaepyo_user&hl=ko&gl=kr,,,,,,
android,kr,com.jwantplan.bdsugar,"혈당 착착 - 혈당 기록, 당뇨 관리","수첩에 일일이 기록할 필요없이 혈당을 간편하게 기록하고 관리해보세요.
공복 부터 식전, 식후 기록을 쉽게 할 수 있어요.
매일 매일 기록한 정보로 분석 정보와 한눈에 볼 수 있는 통계를 제공합니다.

<b>주요기능</b>
- 세분화 된 공복/아침/점심/저녁 식전, 식후 혈당 기록
- 간편한 입력 방식
- 메모 기능 제공
- 한 눈에 보는 월간 추세 제공
- 혈당 분석을 통한 리포트 제공
----
개발자 연락처 :
정정원 금바위로 100
315동 1503호 (와동동, 가람마을3단지 동문아파트)
파주시, 경기도 10895
South Korea 331-41-00872 2022-경기파주-3147 본인 직접 신고",건강/운동,https://play.google.com/store/apps/details?id=com.jwantplan.bdsugar&hl=ko&gl=kr,,,,,,
android,kr,com.medm.medmbg.diary,당뇨병 혈당 일지,"MedM의 당뇨병용 혈당 일지 앱은 세계에서 가장 많이 연결된 혈당 모니터링 앱입니다. 이 앱은 혈당 관리를 단순화하고, 추세를 추적하며, 의사에게 제출할 보고서를 내보낼 수 있도록 설계되었습니다. 사용자는 수동으로 데이터를 입력하거나 Bluetooth를 통해 50개 이상의 연결된 혈당계에서 자동으로 데이터를 수집할 수 있습니다. 혈당 외에도 이 앱은 약물 섭취, 케톤, A1C, 혈압, 콜레스테롤, 중성지방, 헤모글로빈, 헤마토크릿, 혈액 응고, 요산, 그리고 다양한 체성분 지표와 함께 체중도 추적할 수 있습니다.

우리의 혈당 일지는 깔끔하고 직관적인 인터페이스를 가지고 있으며, 등록 여부와 관계없이 사용할 수 있습니다. 사용자는 건강 데이터를 스마트폰에만 저장할지, 아니면 MedM Health Cloud(https://health.medm.com)에 백업할지 결정할 수 있습니다.

당뇨병 혈당 일지는 다음 데이터 유형을 기록할 수 있습니다:  
• 혈당  
• 혈중 케톤  
• A1C  
• 혈중 콜레스테롤  
• 혈압  
• 트리글리세리드  
• 약물 복용  
• 메모  
• 체중  
• 헤모글로빈  
• 헤마토크릿  
• 혈액 응고  
• 혈중 요산

이 앱은 freemium 모델로 제공되며, 모든 기본 기능은 모든 사용자에게 제공됩니다. Premium 회원은 추가로 다른 생태계(예: Apple Health, Health Connect, Garmin, Fitbit)와 특정 데이터 유형을 동기화하고, 다른 신뢰할 수 있는 MedM 사용자(가족 구성원 또는 돌봄 제공자)와 건강 데이터에 대한 접근을 공유하며, 알림, 임계값 및 목표 설정을 할 수 있고, MedM 파트너로부터 독점적인 제안을 받을 수 있습니다.

우리는 데이터 안전에 대해 매우 진지하게 생각합니다. MedM은 데이터 보호를 위한 모든 최선의 방법을 따릅니다: HTTPS 프로토콜을 사용하여 클라우드 동기화를 수행하고, 모든 건강 데이터는 안전하게 호스팅된 서버에 암호화되어 저장됩니다. 사용자는 자신의 데이터에 대한 완전한 제어권을 가지고 있으며 언제든지 건강 기록을 내보내거나 삭제할 수 있습니다.

MedM Diabetes는 다음 브랜드의 혈당 측정기와 동기화됩니다: AndesFit, Betachek, Contec, Contour, Foracare, Genexo, i-SENS, Indie Health, Kinetik Wellbeing, Mio, Oxiline, Roche, Rossmax, Sinocare, TaiDoc, TECH-MED, Tyson Bio 등. 지원되는 기기의 전체 목록은 웹사이트에서 확인할 수 있습니다: https://www.medm.com/sensors.html

MedM은 스마트 의료 기기 연결 분야의 글로벌 리더입니다. 우리의 앱은 수백 가지의 건강 및 피트니스 기기, 센서 및 웨어러블 장치로부터 원활한 직접 데이터 수집을 제공합니다.

MedM – Enabling Connected Health®.

면책조항: 이 앱은 의료 목적이 아닌 일반 피트니스 및 웰빙 목적으로만 사용됩니다. 의료 결정을 내리기 전에 항상 의사와 상담하십시오.",의료,https://play.google.com/store/apps/details?id=com.medm.medmbg.diary&hl=ko&gl=kr,,,,,,
android,kr,health.mydiabetes,"MyDiabetes: Meal, Carb Tracker","당뇨병 관리에 어려움을 겪고 계신가요?

당뇨병을 앓고 계시거나 당뇨병 전단계를 관리하고 계시든, MyDiabetes 앱이 여러분의 건강 여정을 도와드립니다. 내장된 혈당 측정기를 통해 혈당, HbA1c(당화혈색소), 그리고 혈당 수치를 추적하세요. 여러분의 선호도와 혈당지수(GI)에 맞춘 맞춤형 식단 추천도 받아보세요.

체중, 혈당 추이, 그리고 전반적인 건강 상태를 간편하게 모니터링할 수 있습니다. MyDiabetes는 고혈당, 체중 문제, 그리고 기타 당뇨병 관련 문제로 고민하는 분들을 위해 설계되었으며, 효과적인 당뇨병 관리를 위한 믿을 수 있는 지침을 제공합니다.

MyDiabetes와 함께 더 나은 건강을 향한 첫걸음을 내딛으세요.

MyDiabetes의 다양한 도구를 활용하여 혈당, A1c, 수분 섭취량, 복용 약물, 탄수화물(탄수화물 추적기), 칼로리 섭취량 등을 추적하세요. 매일 칼로리를 기록하고 혈당 추적기를 사용하여 수치를 관리할 수도 있습니다.

더 많은 기능을 원하신다면…

프리미엄으로 업그레이드하여 맞춤형 당뇨 식단, 주간 장보기 목록, 장비 없이 할 수 있는 체중 감량 운동 등 당뇨병 관리에 도움이 되는 다양한 기능을 이용해 보세요.

건강 전문가와 영양사의 도움을 받아 개발된 MyDiabetes는 당뇨 관리를 위한 실용적인 전략과 함께, 여러분의 라이프스타일과 다이어트, 체중 감량 목표를 지원하는 맛있는 레시피를 제공합니다. 올인원 음식 및 탄수화물 추적기를 통해 건강 증진, 체중 관리 개선, 더욱 스마트한 식단 관리를 경험해 보세요.

저희는 당뇨 관리 중에도 맛있는 음식을 즐길 수 있어야 한다고 믿습니다. 그래서 프리미엄 플랜은 맞춤형 식단 옵션을 제공하여 좋아하는 음식을 포기하지 않고도 건강한 식단을 유지할 수 있도록 도와드립니다.

저희의 사명은 여러분의 건강 증진을 돕고, 모든 단계에서 든든한 지원을 제공하는 것입니다.

MyDiabetes 건강 추적 기능:
📉 건강 추적기
혈당, 혈당, A1c, 복용 약물, 탄수화물 섭취량을 간편하게 기록하세요. 혈당 변화 추이를 파악하여 병원 방문 시기를 예측하고, 건강 목표 달성을 위한 계획을 세우세요. 헬스 커넥트와 연동됩니다. 내장된 혈당 측정기로 매일 혈당 수치를 확인하세요.

📅 활동 개요
식사, 운동, 수분 섭취량을 기록하여 당뇨병 관리 기록을 체계적으로 유지하고 일상생활을 지원하세요.

MyDiabetes 프리미엄 혜택:
🍏 맞춤형 식단 플래너
칼로리, 탄수화물, 당, 혈당 지수(GI)에 맞춘 식단을 제공합니다. 건강한 당뇨병 환자용 레시피와 고급 탄수화물 추적 기능이 포함되어 있습니다.

🛒 스마트 장보기 목록
선택한 식단에 따라 자동으로 생성되는 장보기 목록으로 간편하게 주간 장보기를 계획하세요.

🏋️ 집에서 할 수 있는 운동
장비 없이 할 수 있는 다양한 운동을 통해 당뇨병 환자의 에너지 증진과 체중 감량 목표 달성을 지원합니다.

📉 고급 건강 추적기
혈당을 포함한 모든 주요 건강 지표를 혈당 추적기로 모니터링하세요. 정기 검진 및 헬스 커넥트 연동에 유용합니다.

📅 일일 활동 스냅샷
식사, 수분 섭취, 운동량을 한눈에 파악하여 건강 관리를 손쉽게 하세요. Health Connect와 완벽하게 통합되어 있습니다.

구독 정보
MyDiabetes는 모든 기능을 이용할 수 있는 구독 플랜을 제공합니다. 가격은 지역에 따라 다를 수 있으며, 해당 지역 통화로 청구됩니다. 구독은 사전 취소하지 않는 한 자동으로 갱신됩니다.

MyDiabetes를 다운로드하고 오늘부터 더 건강한 생활 습관을 만들어 보세요.
간편하고 영양가 있는 레시피를 찾아보고, 고급 식단 플래너, 탄수화물 추적 도구, 다이어트 계획 지원 기능을 통해 건강을 관리하세요.

면책 조항: 의료 관련 결정을 내리기 전에 항상 의사와 상담하십시오.

이용 약관: https://mydiabetes.health/general-conditions/
개인정보 보호정책: https://mydiabetes.health/data-protection-policy/",건강/운동,https://play.google.com/store/apps/details?id=health.mydiabetes&hl=ko&gl=kr,,,,,,
android,kr,melstudio.msugar,Glucose tracker－Diabetic sugar,"당뇨병 혈당 일기 앱은 임신성 당뇨병, 1형 당뇨병, 2형 당뇨병 환자에게 필수적인 혈당 관리 도구입니다. 이 혈당 모니터링 앱을 통해 헤모글로빈, 혈당 수치, 혈압, 인슐린 투여량을 추적할 수 있습니다. 인슐린 투여 알림 기능과 건강 데이터 태그 기능이 탑재되어 있으며, 효과적인 인슐린 주사 기록 관리 도구로도 활용할 수 있습니다.

또한, 당뇨병 식단 관리 기능을 통해 손가락 혈당 측정 결과를 간편하게 저장할 수 있습니다. 식사 및 영양 정보 추적 기능으로 식단 계획을 세우고 효율적인 식단 관리가 가능합니다.

일반적인 혈당 계산기 기능을 통해 혈당 수치 변화 추이를 확인할 수 있으며, 강력하고 스마트한 인슐린 추적 기능을 통해 일일 목표량을 설정하고 모든 인슐린 투여량을 기록할 수 있습니다. 손가락 혈당 측정과 같은 일상적인 기록도 저장 가능하여 더욱 효과적인 혈당 관리를 지원합니다.

★ 당뇨병 관리 앱은 각 사용자의 개별적인 요구 사항을 고려하여 혈당 일지를 자동으로 분석하고 변화를 측정하여 차트로 추세를 보여줍니다. 따라서 외부 기기를 사용하여 손가락 혈당을 측정한 결과를 기록하는 등 당뇨병 관리를 효과적으로 할 수 있습니다.

앱 기능:
✓ 원터치 혈당 측정, 헤모글로빈 수치, 체중, 복용 약물 추가

✓ 인슐린 계산기 데이터, 투여량, 기분, 건강 관련 메모, 의료용 혈당 및 혈압 측정기를 사용한 혈압 및 혈당 측정 결과 기록

✓ 각 기록에 태그를 추가하여 당뇨병 관리 앱을 통해 변화를 확인할 수 있습니다.

✓ 혈당 측정 단위를 mg/dl 또는 mmol/l로 설정 및 사용 가능

✓ 인슐린 지수 계산 및 확인

✓ 통합된 당뇨병 일지에서 식단 추적, 식사 기록, 영양 정보 기능을 통해 음식 섭취량과 혈당을 기록하세요.

✓ 저탄수화물 트래커와 식단 플래너를 사용하여 체중 및 혈당 변화를 추적하고 일일 영양 관리를 개선하세요.
✓ 스마트 알림 시스템을 통해 혈당 측정, 인슐린 투여, 약물 복용 기록을 꾸준히 관리할 수 있습니다. 혈당 측정 결과를 정기적으로 입력하여 혈당을 효과적으로 관리하세요.
✓ 차트, 추세 분석, 알림 기능, 그리고 제1형 당뇨병 앱의 최적화된 환경을 통해 당뇨병 일지를 관리하세요. 혈당, 헤모글로빈, 전반적인 건강 변화를 분석할 수 있습니다.

✓ 혈당 일지에 입력한 모든 기록을 이메일로 전송하거나, .TXT, .XLS, .PDF 파일로 내보낼 수 있습니다.

★ 이 앱은 당뇨병 환자를 위한 유용한 디지털 혈당 기록부로, 의료 기기를 사용하여 측정한 손가락 혈당 수치를 기록하고 분석하여 자신의 몸 상태를 쉽게 이해할 수 있도록 도와줍니다. 또한, 일상적인 영양 섭취를 위한 당뇨병 환자용 탄수화물 계산기 기능도 포함되어 있습니다.

TAG 시스템으로 혈당 수치를 모니터링하세요! 식사, 운동, 습관별로 혈당 수치를 기록하여 혈당에 영향을 미치는 요소를 쉽게 추적하세요. 영양 정보는 제1형 당뇨병을 비롯한 다양한 유형의 당뇨병 환자를 위한 식단 기록을 지원합니다.

💊 이 당뇨병 앱은 의료진에게 유용한 도구이며, 당뇨병 환자라면 당뇨병 도우미를 통해 전문가에게 상세한 건강 상태 보고서를 손쉽게 제공할 수 있습니다. 또한, 당뇨병 식단 추적기와 탄수화물 계산기를 통해 식단 관리에도 도움을 줍니다.

👍 제1형 또는 제2형 당뇨병 환자에게는 매일 혈당을 꼼꼼하게 기록하는 것이 매우 중요합니다. 혈당을 안정시키고, 건강을 증진하며, 더욱 풍요로운 삶을 누리는 데 도움이 됩니다. 기기로 매일 혈당을 측정하고, 인슐린 계산기를 활용하여 적절한 인슐린 용량을 확인하고, 모든 혈당 수치를 한곳에 기록하세요. 혈액형별 식단 선호도를 고려한 식단 계획 도구와 혈액형에 맞는 식단 가이드도 제공하여 더욱 체계적인 영양 관리를 지원합니다.",건강/운동,https://play.google.com/store/apps/details?id=melstudio.msugar&hl=ko&gl=kr,,,,,,
android,kr,com.tastylife.wishcareplus,위시케어+ 혈당 • 당뇨 • 임당 • 혈압 관리 앱,"""당뇨"" 힘들게 관리하지 말고 ""위시케어플러스""로 관리하세요.

No1. 당뇨관리어플 WISHCARE+(위시케어플러스) 은 임신성당뇨(임당), 1형 당뇨, 2형 당뇨 등 ""당뇨""로 힘들어 하시는 분들을 위한 건강관리 도우미 어플입니다.

# 건강관리를 위한 다양한 기능을 소개합니다.

1. 건강 정보 관리
- 혈당기록 : 하루 3번 식전, 식후, 취침전 구분하여 기록
- 투약정보, 혈압, 심박수, 몸무게, 당화혈색소, 메모 기록, 기상, 취침시간
- 목표혈당 입력 가능, 식단 정보
- 하루 물마시기

2. 혈당 정보 기록 한번에 보기
- 다양한 결과 레포팅

3. 혈당-식단 정보 쉽게 보기

4. 건강관리 도움이 되는 컨텐츠
- 당뇨스쿨 유튜브 동영상 컨텐즈 제공
- 건강 관리 컨텐츠

4. 로그인으로 다른 휴대폰에서도 데이터 확인 가능
- 하나의 휴대폰만 아니라 로그인만 하시면 다른 휴대폰에서도 사용됩니다.
- (구)위시케어 사용자님께서도 쉽게 데이터를 옮겨 바로 사용하실수 있습니다.

# 사용자님의 의견으로 계속 진화하고 있습니다.

개발자 연락처 :
the@tastylife.co.kr
----
개발자 연락처 :
김선욱 장안로 271
북수원자이렉스비아, 121동 2008호
장안구, 수원시, 경기도 16336
South Korea 2940802176 - -",라이프스타일,https://play.google.com/store/apps/details?id=com.tastylife.wishcareplus&hl=ko&gl=kr,,,,,,
android,kr,com.tenthapp,"혈당지킴이 - 당뇨관리, 혈당기록","혈당지킴이는 당뇨 환자와 보호자를 위해 만들어진 혈당 관리 앱입니다.
매일 반복되는 혈당 기록과 인슐린 투여 관리를 조금 더 쉽고 편하게 할 수 있도록, 꼭 필요한 기능에 집중해 개발되었습니다.

처음 이 앱을 만들게 된 계기는 가족 때문이었습니다.
개발자의 아버지가 당뇨를 관리하시면서 혈당 수치를 종이나 메모장에 적어두는 모습을 자주 보게 되었고, 시간이 지나면 기록을 잊어버리거나 이전 수치를 다시 찾기 어려운 상황도 많았습니다.

“방금 혈당 쟀는데 어디 적지?”
“아까 얼마였더라?”

생각보다 이런 순간들이 자주 반복됐고,
기록은 해야 하지만 복잡한 앱은 오히려 사용하기 어렵다는 점도 느끼게 되었습니다.

그래서 혈당지킴이는
누구나 쉽게 사용할 수 있는 직관적인 혈당 기록 앱을 목표로 개발되었습니다.

복잡한 설정이나 어려운 메뉴 없이,
혈당 수치와 인슐린 기록을 빠르게 입력하고
차트를 통해 변화 흐름을 한눈에 확인할 수 있도록 구성했습니다.

주요 기능

• 혈당 기록 관리
혈당 수치를 간단하게 입력하고 시간별로 저장할 수 있습니다.

• 인슐린 기록 관리
인슐린 투여 시간과 용량을 함께 기록하여 보다 체계적인 관리가 가능합니다.

• 일별 / 주별 / 월별 차트 제공
단순한 숫자 기록이 아니라 시간 흐름에 따른 변화를 직관적으로 확인할 수 있습니다.

• 하루 상세 혈당 흐름 확인
특정 날짜를 선택하여 하루 동안 시간대별 혈당 변화를 자세히 확인할 수 있습니다.

• 목표 혈당 범위 설정
사용자에게 맞는 목표 범위를 설정하고 정상 범위를 쉽게 비교할 수 있습니다.

• 건강 가이드 제공
혈당 관리에 도움이 되는 음식 정보와 생활 가이드를 간단하게 확인할 수 있습니다.

• PDF 건강 리포트 생성 기능
기록된 혈당 및 인슐린 데이터를 차트와 함께 깔끔한 PDF 리포트로 저장할 수 있습니다.

생성된 리포트에는 다음과 같은 정보가 포함됩니다.

* 평균 혈당
* 최고 / 최저 혈당
* 일별 / 주별 / 월별 차트
* 하루 상세 시간대 차트
* 기록 통계
* 건강 분석 요약

PDF 파일은 저장 후 바로 공유할 수 있어
병원 방문 시 의사에게 보여주거나 가족 및 보호자와 함께 건강 상태를 확인하는 데에도 용이합니다.

혈당 관리는 단기간으로 끝나는 것이 아니라
꾸준한 기록과 흐름 파악이 매우 중요합니다.

혈당지킴이는 복잡한 기능을 늘리기보다,
사용자가 부담 없이 기록을 이어갈 수 있는 환경을 만드는 데 집중했습니다.

작은 기록 하나가 쌓여 건강 패턴을 이해하는 데 도움이 되고,
꾸준한 관리 습관으로 이어질 수 있도록 계속 개선해나가고 있습니다.

앞으로도 더 편리하고 실질적으로 도움이 되는 기능들을 추가해,
당뇨 환자와 보호자 모두가 부담 없이 사용할 수 있는 건강 관리 앱이 되는 것을 목표로 하고 있습니다.
----
개발자 연락처 :
윤혜찬 서울특별시 노원구 광운로2나길 30
동신아파트, 4동 213호
노원구, 서울특별시 01900
South Korea 248-79-00495  ",도구,https://play.google.com/store/apps/details?id=com.tenthapp&hl=ko&gl=kr,,,,,,
android,kr,com.sugarlog.app,혈당 기록 - 당뇨 일지 수치관리,"재는 건 혈당계가, 남기는 건 이 앱이.

수치를 적어두기만 하면 태그에 맞는 범위로 판정하고, 추이와 리포트까지 정리해 줍니다.

📌 이런 분께
• 병원에서 혈당 수첩을 써오라고 하신 분
• 종이 수첩에 적다가 자꾸 빠뜨리는 분
• 식전·식후 수치를 구분해서 보고 싶은 분

🔑 주요 기능
• 태그별 기록 — 공복, 식전, 식후 1시간, 식후 2시간, 취침 전
• 즉시 판정 — 저장과 동시에 태그 기준 범위 안팎을 알려줍니다
• 7일·30일 그래프 — 평균, 최고, 최저를 한 화면에서
• 태그별 통계 — 어떤 시간대가 높은지 나눠서 확인
• 리포트 내보내기 — CSV, PDF로 진료 때 그대로 제출
• 기록 알림 — 원하는 시간과 요일에만 조용히

🔒 내 폰에만
모든 기록은 기기 안에만 저장됩니다. 서버로 보내지 않고, 회원가입도 필요 없습니다. 백업 파일은 직접 저장하고 직접 복원합니다.

❓ 자주 묻는 질문
Q. 혈당을 앱이 직접 측정하나요?
A. 아니요. 혈당계로 잰 수치를 기록하고 정리하는 앱입니다.

Q. 인터넷이 없어도 되나요?
A. 네. 기록, 그래프, 내보내기 모두 오프라인에서 동작합니다.

⚠️ 의료 면책
이 앱은 개인 기록을 돕는 도구이며 의료기기가 아닙니다. 진단, 치료, 처방을 대신할 수 없습니다. 치료 방침은 반드시 의료 전문가와 상의하세요.
----
개발자 연락처 :
김현우 김포한강2로 361
707동 2104호
김포시, 경기도 10081
South Korea 765-19-02261 2025-경기김포-0251 토스페이먼츠",건강/운동,https://play.google.com/store/apps/details?id=com.sugarlog.app&hl=ko&gl=kr,,,,,,
android,kr,com.siwooeo.glucosemeter,혈당 다이어리 - 당뇨 관리 기록,"매일의 혈당을 한 방울처럼 차곡차곡 — 혈당 다이어리는 당뇨 관리·예방을 위한 가장 단순하고 정확한 기록 도구입니다.

▶ 측정값을 측정 시점과 함께 기록
공복 · 식전 · 식후 2시간 · 취침 전 · 무작위 — 측정 시점에 따라 정상 기준이 달라지므로 매번 자동 분류해 표시합니다.

▶ 한눈에 보이는 추이 그래프
시간 흐름에 따른 혈당 변화를 부드러운 라인 차트로 시각화. 목표 범위(70-180 mg/dL) 가이드라인이 함께 표시되어 추세 파악이 쉽습니다.

▶ 14일 이상 누적 시 예상 당화혈색소 (eA1C)
미국당뇨병학회(ADA) 공식 평균-혈당 변환식 기반. 병원 검사 사이의 자가 모니터링 보조 지표로 사용하세요.

▶ 두 가지 분류 기준 선택
대한당뇨병학회(KDA) / 미국당뇨병학회(ADA) — 본인이나 담당 의사가 따르는 기준에 맞춰 라벨 표기를 변경할 수 있습니다. 측정값은 원본 그대로 저장되어 기준을 바꿔도 데이터가 달라지지 않습니다.

▶ 분류 카테고리 (시점별 자동 적용)
• 심한 저혈당 (< 54 mg/dL)
• 저혈당 (54-69)
• 정상 — 시점별 임계값 적용
• 전단계 (공복혈당장애 / 내당능장애)
• 당뇨
• 심한 고혈당 (≥ 300)

▶ 측정 시점 · 활동 · 컨디션 태그
운동 후 · 음주 후 · 여행 중 · 피곤함 · 스트레스 · 감기 · 인슐린 후 등 자주 쓰는 컨텍스트는 빌트인 태그로 한 번에 추가, 직접 만든 태그도 무제한으로 사용 가능합니다.

▶ 캘린더 뷰
월별 캘린더에서 측정한 날짜와 분류별 색상 도트로 한눈에 누락 없이 확인.

▶ 측정 알림
하루 최대 3회까지 원하는 시각·요일에 알림 설정. 인터넷 없이 기기 내에서만 처리됩니다.

▶ 데이터 내보내기 · 백업
의료진과 공유할 수 있는 CSV 내보내기, 기기 변경 시 안전하게 옮기는 JSON 전체 백업·복원 모두 지원합니다.

▶ 100% 로컬 저장 — 인터넷 불필요
모든 측정 기록은 기기 내 SQLite 에 저장됩니다. 클라우드로 전송하지 않으며 별도 회원가입도 필요 없습니다. 의료 정보는 사용자 본인의 기기에서만 다뤄집니다.

▶ 한국어 · 영어 지원
시스템 언어 자동 감지 또는 설정에서 직접 선택 가능. 다크 모드 지원.

═══

⚠️ 주의 — 이 앱은 자가 측정 보조용 다이어리입니다. 의료적 진단·치료 결정은 반드시 담당 의사와 상의하세요. 표시되는 분류 카테고리·추정값은 참고용 지표이며 의료적 판단을 대체하지 않습니다.

분류 기준 출처:
• 대한당뇨병학회 (KDA, 2023): https://www.diabetes.or.kr
• 미국당뇨병학회 (ADA Standards of Care in Diabetes, 2026)
----
개발자 연락처 :
안시우 선릉로86길 31
1024호 (대치동, 선릉역롯데골드로즈2)
강남구, 서울특별시 06193
South Korea 508-09-52757 제2024-서울성북-1218호 직접 발급",건강/운동,https://play.google.com/store/apps/details?id=com.siwooeo.glucosemeter&hl=ko&gl=kr,,,,,,
